post_id,title,category,score,num_comments,author,collected_at
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,63,10,mooreds,2026-04-07 20:17:53
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,423,189,MattHart88,2026-04-07 20:17:57
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,entertainment,26,18,fsloth,2026-04-07 20:18:05
47660853,Book review: There Is No Antimemetics Division,entertainment,273,204,ibobev,2026-04-07 20:18:10
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,96,27,noone_youknow,2026-04-07 20:18:11
47637828,Show HN: Tusk for macOS and Gnome,entertainment,110,38,factorialboy,2026-04-07 20:18:16
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,59,12,4RH1T3CT0R,2026-04-07 20:18:22
47662429,Show HN: Weird Clocks,entertainment,46,13,vunderba,2026-04-07 20:18:47
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,315,201,nevernothing,2026-04-07 20:18:50
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,98,22,mohshomis,2026-04-07 20:19:01
47652322,Music for Programming,entertainment,345,170,merusame,2026-04-07 20:19:07
47637206,Show HN: Docking – Extensible Linux dock in Python,entertainment,26,8,edumucelli,2026-04-07 20:19:13
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,83,9,lexalizer,2026-04-07 20:19:22
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,173,30,laszlokorte,2026-04-07 20:19:22
47658617,Show HN: I just built a MCP Server that connects Claude to all your wearables,entertainment,17,12,anton_salcher,2026-04-07 20:19:30
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,118,54,waveywaves,2026-04-07 20:19:34
47665630,Show HN: Meta-agent: self-improving agent harnesses from live traces,entertainment,10,0,essamsleiman,2026-04-07 20:19:36
47662313,Show HN: ReverseCam – See yourself as others see you,entertainment,10,1,ilamparithi,2026-04-07 20:19:48
47625952,Show HN: I built a frontpage for personal blogs,entertainment,780,194,ramkarthikk,2026-04-07 20:19:54
47613118,Show HN: I built a small app for FSI German Course,entertainment,53,15,syedmsawaid,2026-04-07 20:19:59
47659363,"Show HN: I replaced Google Analytics with my own tool – no cookies, <1KB script",entertainment,13,10,VictorChanet,2026-04-07 20:20:13
